Collection,ministry,n_rows,merge_add_columns,needs_review,n_header_sigs,n_missing_header,sample_titles
"Village/Town-wise Primary Census Abstract, 2011 - Aurangabad District (schema 1)","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",578,district,False,1,0,"Village/Town-wise Primary Census Abstract, 2011 - Kupwara District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Badgam District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Leh(Ladakh) District of JAMMU & KASHMIR"
Migrants by Place of Last Residence with Duration of Residence as 0-9 Years and Age,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",36,state,True,0,36,"Migrants by Place of Last Residence with Duration of Residence as 0-9 Years and Age, 2001 - India | Migrants by Place of Last Residence with Duration of Residence as 0-9 Years and Age, 2001 - Jammu & Kashmir | Migrants by Place of Last Residence with Duration of Residence as 0-9 Years and Age, 2001 - Himachal Pradesh"
"Migrants by Place of Last Residence, Age, Sex, Educational Level and Duration of Residence","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",36,state,True,0,36,"Migrants by Place of Last Residence, Age, Sex, Educational Level and Duration of Residence, 2001 - India | Migrants by Place of Last Residence, Age, Sex, Educational Level and Duration of Residence, 2001 - Jammu & Kashmir | Migrants by Place of Last Residence, Age, Sex, Educational Level and Duration of Residence, 2001 - Himachal Pradesh"
Households by Source of Drinking Water and its Location,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",36,year,False,1,35,"Households by main source of drinking water and location, 2011 | Households by Source of Drinking Water and its Location, 2001 - Jammu & Kashmir | Households by Source of Drinking Water and its Location, 2001 - Himachal Pradesh"
"Migrants by Place of Last Residence with Duration 0-9 Years Reporting 'Work/Employment' as Reason for Migration by Age, Sex and Educational Level","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",36,state,True,0,36,"Migrants by Place of Last Residence with Duration 0-9 Years Reporting 'Work/Employment' as Reason for Migration by Age, Sex and Educational Level, 2001 - India | Migrants by Place of Last Residence with Duration 0-9 Years Reporting 'Work/Employment' as Reason for Migration by Age, Sex and Educational Level, 2001 - Jammu & Kashmir | Migrants by Place of Last Residence with Duration 0-9 Years Reporting 'Work/Employment' as Reason for Migration by Age, Sex and Educational Level, 2001 - Himachal Pradesh"
Households by Availability of Separate Kitchen and Type of Fuel Used for Cooking,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",36,,True,1,35,"Households by availability of separate kitchen and type of fuel used for cooking, 2011 | Households by Availability of Separate Kitchen and Type of Fuel Used for Cooking, 2001 - Jammu & Kashmir | Households by Availability of Separate Kitchen and Type of Fuel Used for Cooking, 2001 - Himachal Pradesh"
Households with Workers and Main Workers,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",36,state,True,0,36,"Households with Workers and Main Workers, 2001 - India | Households with Workers and Main Workers, 2001 - Jammu & Kashmir | Households with Workers and Main Workers, 2001 - Himachal Pradesh"
"Migrants by Place of Last Residence, Age, Sex, Marital Status and Duration of Residence 0-9 Years","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",36,state,True,0,36,"Migrants by Place of Last Residence, Age, Sex, Marital Status and Duration of Residence 0-9 Years, 2001 - India | Migrants by Place of Last Residence, Age, Sex, Marital Status and Duration of Residence 0-9 Years, 2001 - Jammu & Kashmir | Migrants by Place of Last Residence, Age, Sex, Marital Status and Duration of Residence 0-9 Years, 2001 - Himachal Pradesh"
Households by Source of Lighting,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",36,year,False,1,35,"Households by main source of lighting, 2011 | Households by Source of Lighting, 2001 - Jammu & Kashmir | Households by Source of Lighting, 2001 - Himachal Pradesh"
Normal households by household size,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",35,year,False,1,34,"Normal households by household size, 2011 | Normal households by household size, 2011 - JAMMU & KASHMIR | Normal households by household size, 2011 - HIMACHAL PRADESH"
"Main Workers Classified by Industrial Category, Educational Level and Sex","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",35,,True,1,34,"Marginal Workers Classified by Industrial Category, Educational Level and Sex, 2001 -India | Marginal Workers Classified by Industrial Category, Educational Level and Sex, 2001 -Jammu & Kashmir | Marginal Workers Classified by Industrial Category, Educational Level and Sex, 2001 -Himachal Pradesh"
Religious community by age-group and sex,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",35,,True,1,34,"Religious community by age-group and sex, 2001 - INDIA | Religious community by age-group and sex, 2001 - JAMMU & KASHMIR | Religious community by age-group and sex, 2001 - HIMACHAL PRADESH"
Population in single year age by Residence and Sex,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",35,,True,1,34,"Population in single year age by Residence and Sex, 2001 - INDIA | Population in single year age by Residence and Sex, 2001 - JAMMU & KASHMIR | Population in single year age by Residence and Sex, 2001 - HIMACHAL PRADESH"
Persons Born and Enumerated in Districts of the State,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",35,state,True,0,35,"Persons Born and Enumerated in Districts of the State, 2001 - Jammu & Kashmir | Persons Born and Enumerated in Districts of the State, 2001 - Himachal Pradesh | Persons Born and Enumerated in Districts of the State, 2001 - Punjab"
Population by Religious Community,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",35,state,True,0,35,"Population by Religious Community, 2001 - India | Population by Religious Community, 2001 - Jammu & Kashmir | Population by Religious Community, 2001 - Himachal Pradesh"
Education level by religious community and sex for population age 7 and above,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",35,,True,1,34,"Education level by religious community and sex for population age 7 and above, 2001 - INDIA | Education level by religious community and sex for population age 7 and above, 2001 - JAMMU & KASHMIR | Education level by religious community and sex for population age 7 and above, 2001 - HIMACHAL PRADESH"
Households with Number of Aged Persons 60 Years and Above by Sex and by Household Size,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",35,state,True,0,35,"Households with number of aged persons 60 years and above by sex and household size, 2011 - INDIA | Households with number of aged persons 60 years and above by sex and household size, 2011 - JAMMU & KASHMIR | Households with number of aged persons 60 years and above by sex and household size, 2011 - HIMACHAL PRADESH"
"Number of Newly Registered Motor Vehicles in 2006-07, 2007-08 and 2008-09 and Number of Registered Motor Vehicles as on",Ministry of Road Transport and Highways,35,state,False,2,0,"Number of Newly Registered Motor Vehicles in 2006-07, 2007-08 and 2008-09 and Number of Registered Motor Vehicles as on 2007,2008 and 2009 in Andhra Pradesh | Number of Newly Registered Motor Vehicles in 2006-07, 2007-08 and 2008-09 and Number of Registered Motor Vehicles as on 2007,2008 and 2009 in Arunachal Pradesh | Number of Newly Registered Motor Vehicles in 2006-07, 2007-08 and 2008-09 and Number of Registered Motor Vehicles as on 2007,2008 and 2009 in Assam"
Educational Level by Age and Sex,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",35,state,True,0,35,"Educational level by age and sex for population age 7 and above, 2001 - JAMMU & KASHMIR | Educational level by age and sex for population age 7 and above, 2001 - HIMACHAL PRADESH | Educational level by age and sex for population age 7 and above, 2001 - PUNJAB"
Households by Size and Dwelling Rooms,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",35,state,True,0,35,"Households by Size and Dwelling Rooms, 2001 - Jammu & Kashmir | Households by Size and Dwelling Rooms, 2001 - Himachal Pradesh | Households by Size and Dwelling Rooms, 2001 - Punjab"
Households Availing Banking Services and Households having Each of the Specified Asset,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",35,state,True,0,35,"Households Availing Banking Services and Households having Each of the Specified Asset, 2001 - Jammu & Kashmir | Households Availing Banking Services and Households having Each of the Specified Asset, 2001 - Himachal Pradesh | Households Availing Banking Services and Households having Each of the Specified Asset, 2001 - Punjab"
Occupational Classification of Main Workers Other than Cultivators and Agricultural Labourers by Sex,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",35,state,True,0,35,"Occupational Classification of Main Workers other than Cultivators and Agricultural Labourers by Sex, 2001 -India | Occupational Classification of Main Workers other than Cultivators and Agricultural Labourers by Sex, 2001 -Jammu & Kashmir | Occupational Classification of Main Workers other than Cultivators and Agricultural Labourers by Sex, 2001 -Himachal Pradesh"
"Population Attending Educational Institution by Completed Education Level, Age and Sex","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",35,,True,1,34,"Population attending educational institution by completed education level, age and sex, 2001 - INDIA | Population attending educational institution by completed education level, age and sex, 2001 - JAMMU & KASHMIR | Population attending educational institution by completed education level, age and sex, 2001 - HIMACHAL PRADESH"
Details of Sects/Beliefs/Religions Clubbed Under Specific Religious Community,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",35,state,True,0,35,"Details of Sects/Beliefs/Religions Clubbed Under Specific Religious Community, 2001 - India | Details of Sects/Beliefs/Religions Clubbed Under Specific Religious Community, 2001 - Jammu & Kashmir | Details of Sects/Beliefs/Religions Clubbed Under Specific Religious Community, 2001 - Himachal Pradesh"
Marital status by age and sex,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",35,,True,1,34,"Marital status by age and sex, 2001 - INDIA | Marital status by age and sex, 2001 - JAMMU & KASHMIR | Marital status by age and sex, 2001 - HIMACHAL PRADESH"
Houseless Households by Household Size,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",34,state,True,0,34,"Houseless households by household size, 2011 - INDIA | Houseless households by household size, 2011 - JAMMU & KASHMIR | Houseless households by household size, 2011 - HIMACHAL PRADESH"
Details of Religious Communities Shown Under 'Other Religions And Persuasions',"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",34,state,True,0,34,"Details of Religious Communities Shown Under 'Other Religions And Persuasions', 2001 - India | Details of Religious Communities Shown Under 'Other Religions And Persuasions', 2001 - Jammu & Kashmir | Details of Religious Communities Shown Under 'Other Religions And Persuasions', 2001 - Himachal Pradesh"
Education Level Graduate and Above by Sex for Scheduled Caste for Age 15 and Above,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",33,state,True,0,33,"Education Level Graduate and Above by Sex for Scheduled Caste for Age 15 and Above, 2001 - India | Education Level Graduate and Above by Sex for Scheduled Caste for Age 15 and Above, 2001 - Jammu & Kashmir | Education Level Graduate and Above by Sex for Scheduled Caste for Age 15 and Above, 2001 - Himachal Pradesh"
"Population Ages 5-19 Attending Educational Institutions by Economic Activity Status and Sex for Scheduled Castes, 2001 -Andhra Pradesh","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",33,state,True,0,33,"Population Ages 5-19 Attending Educational Institutions by Economic Activity Status and Sex for Scheduled Castes, 2001 -India | Population Ages 5-19 Attending Educational Institutions by Economic Activity Status and Sex for Scheduled Castes, 2001 -Jammu & Kashmir | Population Ages 5-19 Attending Educational Institutions by Economic Activity Status and Sex for Scheduled Castes, 2001 -Himachal Pradesh"
"Main Workers Classified by Industrial Category, Educational Level and Sex for Scheduled Castes","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",33,state,True,0,33,"Marginal Workers Classified by Industrial Category, Educational Level and Sex for Scheduled Castes, 2001 -India | Marginal Workers Classified by Industrial Category, Educational Level and Sex for Scheduled Castes, 2001 -Jammu & Kashmir | Marginal Workers Classified by Industrial Category, Educational Level and Sex for Scheduled Castes, 2001 -Himachal Pradesh"
Monthly Traffic and Operating Statistics of Air India Express on Scheduled Domestic Services (schema 2),Ministry of Civil Aviation,33,,True,1,0,Monthly Traffic and Operating Statistics of Air Asia on Scheduled Domestic Services during 2015-16 | Monthly Traffic and Operating Statistics of Air Costa on Scheduled Domestic Services during 2015-16 | Monthly Traffic and Operating Statistics of Air India on Scheduled Domestic Services during 2015-16
Scheduled Caste Households by Source of Lighting,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",33,year,False,1,32,"Scheduled Caste Households by main source of lighting, 2011 | Scheduled Caste Households by Source of Lighting, 2001 - Jammu & Kashmir | Scheduled Caste Households by Source of Lighting, 2001 - Himachal Pradesh"
Population in single year age by Residence and Sex for Scheduled Castes,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",33,,True,1,32,"Population in single year age by Residence and Sex for Scheduled Castes, 2001 - INDIA | Population in single year age by Residence and Sex for Scheduled Castes, 2001 - JAMMU & KASHMIR | Population in single year age by Residence and Sex for Scheduled Castes, 2001 - HIMACHAL PRADESH"
Occupational Classification of Main Workers Other than Cultivators and Agricultural Labourers by Sex for Scheduled Castes,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",33,state,True,0,33,"Occupational Classification of Main Workers other than Cultivators and Agricultural Labourers by Sex for Scheduled Castes, 2001 -India | Occupational Classification of Main Workers other than Cultivators and Agricultural Labourers by Sex for Scheduled Castes, 2001 -Jammu & Kashmir | Occupational Classification of Main Workers other than Cultivators and Agricultural Labourers by Sex for Scheduled Castes, 2001 -Himachal Pradesh"
Educational level by age and sex for population age 7 and above for Scheduled Castes,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",33,,True,1,32,"Educational level by age and sex for population age 7 and above for Scheduled Castes, 2001 - INDIA | Educational level by age and sex for population age 7 and above for Scheduled Castes, 2001 - JAMMU & KASHMIR | Educational level by age and sex for population age 7 and above for Scheduled Castes, 2001 - HIMACHAL PRADESH"
"Disabled Population by type of Disability, Age and Sex for Scheduled Castes","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",33,year,False,1,32,"Disabled Population by type of Disability, Age and Sex for Scheduled Castes, 2011 - JAMMU & KASHMIR | Disabled Population by Type Of Disability, Age and Sex for Scheduled Castes, 2001 -India | Disabled Population by Type Of Disability, Age and Sex for Scheduled Castes, 2001 -Jammu & Kashmir"
Ever married and currently married population by age at marriage and duration of marriage for Scheduled Castes,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",33,state,True,0,33,"Ever Married and Currently Married Population by Age At Marriage and Duration Of Marriage for Scheduled Castes, 2001 -India | Ever Married and Currently Married Population by Age At Marriage and Duration Of Marriage for Scheduled Castes, 2001 -Jammu & Kashmir | Ever Married and Currently Married Population by Age At Marriage and Duration Of Marriage for Scheduled Castes, 2001 -Himachal Pradesh"
Education Level by Age and Sex for Scheduled Caste Age 7 and Above,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",33,state,True,0,33,"Education Level by Age and Sex for Scheduled Caste Age 7 and Above, 2001 - India | Education Level by Age and Sex for Scheduled Caste Age 7 and Above, 2001 - Jammu & Kashmir | Education Level by Age and Sex for Scheduled Caste Age 7 and Above, 2001 - Himachal Pradesh"
Households by number of literates among the members of household age 7 years and above for SC,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",32,state,True,0,32,"Households by number of literates among the members of household age 7 years and above for SC, 2011 - INDIA | Households by number of literates among the members of household age 7 years and above for SC, 2011 - JAMMU & KASHMIR | Households by number of literates among the members of household age 7 years and above for SC, 2011 - HIMACHAL PRADESH"
